UID,FROMUID,NETWID,Pressure,Qdemand
sp5375,m880,1,0,1.500
sp5390,m259,1,0,0.110
sp5385,m2753,4,0,0.200
sp5382,m2114,8,0,0.080
sp5378,m5298,17,0,0.000
sp5376,m5110,1,0,1.000
sp5399,m3228,13,0,0.020
sp5396,m2282,13,0,0.140
sp5395,m2160,12,0,0.700
sp5392,m5148,1,0,0.000
